top - 23:02:31 up 13 days, 12:31,  5 users,  load average: 0,07, 0,14, 0,09
Threads: 573 total,   1 running, 572 sleeping,   0 stopped,   0 zombie
%Cpu(s):  3,1 us,  4,7 sy,  0,0 ni, 89,1 id,  3,1 wa,  0,0 hi,  0,0 si,  0,0 st 
MiB Mem :   3799,2 total,    526,1 free,   1688,0 used,   1874,2 buff/cache     
MiB Swap:   3798,0 total,   3694,8 free,    103,1 used.   2111,2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 164814 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164815 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164816 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164817 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164818 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164819 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164820 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164821 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164822 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164823 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164824 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164825 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164826 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164827 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164828 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164829 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164830 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164831 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164832 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164833 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164834 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164835 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164836 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.12 node /o+
 164837 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164838 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164839 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164840 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164841 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
